StewardID , OriginalCount , SimplifiedCount
'484998', 27590, 13920
'484994', 23724, 8387
'485571', 39508, 18403
'484978', 19734, 7836
'484979', 15648, 8885
'485575', 32211, 13600
'484970', 24658, 9935
'484971', 26112, 9965
'485556', 4590, 3058
'485016', 60605, 31333
'485610', 8562, 6873
'485014', 18979, 12674
'485030', 21296, 10763
'484985', 23548, 10571
'485033', 30864, 14355
'485598', 32071, 16084
'485038', 47716, 20418
'485018', 40303, 17052
'484988', 31529, 12178
'484980', 26540, 13801
'485063', 38160, 11379
'485601', 431, 257
'485064', 17855, 7319
'485003', 43049, 16262
'485643', 7665, 4411
'485008', 25988, 18089
