StewardID , OriginalCount , SimplifiedCount
'2395293', 23222, 12200
'2396558', 5207, 4203
'481811', 31321, 11613
'481812', 33894, 17869
'484969', 13800, 9813
'484972', 20892, 11525
'484973', 26200, 11851
'484974', 14391, 12468
'484976', 22697, 12066
'484977', 45040, 28615
'484981', 9502, 6164
'484982', 7616, 5323
'484983', 23111, 9779
'484986', 8401, 5187
'484987', 41267, 20743
'484989', 18123, 8867
'484990', 16471, 12486
'484991', 24929, 11346
'484992', 271475, 32481
'484993', 8736, 5386
'484996', 24284, 11417
'484997', 18929, 13494
'485001', 7453, 5607
'485002', 6894, 3634
'485004', 19552, 8656
'485006', 6357, 4827
'485005', 19741, 13253
'485007', 18828, 10415
'485009', 22830, 10750
'485010', 220556, 131100
'485011', 5508, 3749
'485012', 16642, 9570
'485013', 12857, 5693
'485015', 5941, 3462
'485017', 18966, 8416
'485021', 78968, 15803
'485022', 26996, 13416
'485023', 22185, 13904
'485024', 7133, 6577
'485025', 21755, 15805
'485026', 32951, 10289
'485028', 29828, 11255
'485029', 19976, 11220
'485031', 9562, 6608
'485032', 17257, 9513
'485034', 26809, 11575
'485035', 12021, 8379
'485037', 34431, 13802
'485039', 13304, 8116
'485040', 15232, 7711
'485042', 14769, 8705
'485043', 11143, 9088
'485044', 59878, 27766
'485045', 12575, 9361
'485049', 223185, 113295
'485051', 117084, 47860
'485052', 10873, 6078
'485053', 10080, 7171
'485054', 13104, 7053
'485055', 5863, 3779
'485056', 5715, 4147
'485058', 7551, 6041
'485059', 31901, 13499
'485060', 20446, 7763
'485061', 20054, 12017
'485062', 14586, 3789
'485099', 5630, 4260
'485135', 40737, 21966
'485327', 3905, 3373
'485328', 9227, 4952
'485358', 7666, 5876
'485557', 14644, 9248
'485559', 11847, 8983
'485579', 24225, 12584
'485589', 21311, 14084
'485595', 9, 5
'485597', 267374, 82012
'485600', 37120, 18496
'485601', 88065, 62721
'485608', 10153, 6914
'485613', 8890, 7737
'485647', 28032, 14456
'485649', 42369, 21605
